path,name,dataset,language,feature_extractor,classifier,repeat,WSS@95%,RRF@10%,ATD
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_12.h5,ACEInhibitors,DE,multilingual_post,logistic,4,68.91817467,85,7.73947679
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_13.h5,ACEInhibitors,DE,multilingual_post,logistic,5,77.49409913,90,7.242820614
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_14.h5,ACEInhibitors,DE,multilingual_post,logistic,6,67.97403619,87.5,7.281176239
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_15.h5,ACEInhibitors,DE,multilingual_post,logistic,7,70.29504327,87.5,7.168076318
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_2.h5,ACEInhibitors,DE,multilingual_post,logistic,8,67.18725413,87.5,7.588021243
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_3.h5,ACEInhibitors,DE,multilingual_post,logistic,9,79.30369788,87.5,6.355723839
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_4.h5,ACEInhibitors,DE,multilingual_post,logistic,10,68.99685287,87.5,7.376573564
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_5.h5,ACEInhibitors,DE,multilingual_post,logistic,11,71.78992919,85,7.47983871
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_6.h5,ACEInhibitors,DE,multilingual_post,logistic,12,84.06372935,92.5,6.898603462
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_7.h5,ACEInhibitors,DE,multilingual_post,logistic,13,70.76711251,85,7.57720299
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_8.h5,ACEInhibitors,DE,multilingual_post,logistic,14,75.8025177,90,6.556353265
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_9.h5,ACEInhibitors,DE,multilingual_post,logistic,15,71.08182533,85,8.155487805
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_1.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,1,43.6322805,71.42857143,10.81622304
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_10.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,2,43.42944074,75,10.78000166
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_11.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,3,42.61808172,75,10.84520015
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_12.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,4,41.74876847,71.42857143,10.28014654
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_13.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,5,43.92205158,78.57142857,11.0811566
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_14.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,6,43.19762388,75,10.46332326
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_15.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,7,42.64705882,75,10.17872666
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_2.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,8,70.55201391,67.85714286,10.35362421
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_3.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,9,44.24079977,71.42857143,10.4519394
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_4.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,10,43.48739496,75,10.30705386
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_5.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,11,42.67603593,75,10.17976156
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_6.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,12,47.28339612,75,11.04803991
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_7.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,13,43.37148653,78.57142857,9.999689531
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_8.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,14,42.9368299,71.42857143,10.87417726
D:\Thesis\output\DE\multilingual_post\logistic,Appenzeller-Herzog_2020_DE_9.h5,Appenzeller-Herzog_2020,DE,multilingual_post,logistic,15,42.53115039,71.42857143,10.53266134
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_1.h5,Hall_2012,DE,multilingual_post,logistic,1,90.79048459,97.08737864,2.11038908
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_10.h5,Hall_2012,DE,multilingual_post,logistic,2,90.48742027,98.05825243,1.989860804
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_11.h5,Hall_2012,DE,multilingual_post,logistic,3,91.05987509,97.08737864,2.014816478
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_12.h5,Hall_2012,DE,multilingual_post,logistic,4,90.77925998,97.08737864,2.044458151
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_13.h5,Hall_2012,DE,multilingual_post,logistic,5,90.93640444,98.05825243,1.94986634
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_14.h5,Hall_2012,DE,multilingual_post,logistic,6,90.80170919,98.05825243,2.034650245
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_15.h5,Hall_2012,DE,multilingual_post,logistic,7,90.8129338,98.05825243,1.918698992
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_2.h5,Hall_2012,DE,multilingual_post,logistic,8,90.97007826,98.05825243,2.080093546
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_3.h5,Hall_2012,DE,multilingual_post,logistic,9,90.50986948,98.05825243,1.97362327
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_4.h5,Hall_2012,DE,multilingual_post,logistic,10,90.49864487,98.05825243,1.971552712
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_5.h5,Hall_2012,DE,multilingual_post,logistic,11,90.91395523,97.08737864,2.012854896
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_6.h5,Hall_2012,DE,multilingual_post,logistic,12,90.73436157,97.08737864,1.927635085
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_7.h5,Hall_2012,DE,multilingual_post,logistic,13,90.76803538,98.05825243,1.942455922
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_8.h5,Hall_2012,DE,multilingual_post,logistic,14,90.3190512,98.05825243,1.992476246
D:\Thesis\output\DE\multilingual_post\logistic,Hall_2012_DE_9.h5,Hall_2012,DE,multilingual_post,logistic,15,90.38639883,98.05825243,1.979072107
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_1.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,1,36.43738407,45.23809524,16.20737029
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_10.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,2,38.27995721,59.52380952,13.70442633
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_11.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,3,38.36077182,61.9047619,12.62882234
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_12.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,4,35.49993458,61.9047619,13.5720443
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_13.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,5,35.3706312,61.9047619,13.70788982
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_14.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,6,39.97706404,57.14285714,13.31690103
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_15.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,7,36.14645147,40.47619048,16.70072425
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_2.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,8,36.3888953,61.9047619,14.02075781
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_3.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,9,37.14855265,54.76190476,14.76463707
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_4.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,10,35.98482225,59.52380952,13.63246284
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_5.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,11,37.03541219,64.28571429,13.25725215
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_6.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,12,35.74237841,57.14285714,13.80101903
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_7.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,13,36.63133914,57.14285714,14.03268759
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_8.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,14,36.6798279,59.52380952,13.50200497
D:\Thesis\output\DE\multilingual_post\logistic,van_de_Schoot_2017_DE_9.h5,van_de_Schoot_2017,DE,multilingual_post,logistic,15,37.82739538,61.9047619,13.14411169
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_1.h5,ACEInhibitors,DE_EN,doc2vec,logistic,1,77.57277734,72.5,8.120082612
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_10.h5,ACEInhibitors,DE_EN,doc2vec,logistic,2,77.80881196,75,9.262883556
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_11.h5,ACEInhibitors,DE_EN,doc2vec,logistic,3,70.33438238,2.5,16.22787175
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_12.h5,ACEInhibitors,DE_EN,doc2vec,logistic,4,74.81904013,77.5,7.843725413
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_13.h5,ACEInhibitors,DE_EN,doc2vec,logistic,5,78.98898505,80,7.815204563
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_14.h5,ACEInhibitors,DE_EN,doc2vec,logistic,6,79.30369788,77.5,8.065991345
D:\Thesis\output\DE_EN\doc2vec\logistic,ACEInhibitors_DE_EN_15.h5,ACEInhibitors,DE_EN,doc2vec,logistic,7,75.25177026,77.5,8.458398899
